correlation of sepal_length in data iris,"corr ( data = iris , var1 = sepal_length )"
spans of iris,ranges ( data = iris )
How many info  sepal_length larger than or equal to 21.902449335191875 dataset,"greater_eq ( data = iris , var1 = sepal_length , val = 21.902449335191875 )"
correlation of sepal_length and sepal_width in iris data,"corr ( data = iris, var1 = sepal_length , var2 = sepal_width )"
load iris data  in a,load ( data = iris )
largest of sepal_width in iris data base,"maximum ( data = iris , var1 = sepal_width )"
spans of iris,ranges ( data = iris )
How many info where sepal_width greater than or equal to -27.57965031441772 data,"greater_eq ( data = iris , var1 = sepal_width , val = -27.57965031441772 )"
scatterplot of sepal_width and petal_width in df iris,"scatterplot ( data = iris, var1 = sepal_width , var2 = petal_width )"
store iris df  in data,load ( data = iris )
minimum of the petal_length in data iris,"minimum ( data = iris , var1 = petal_length )"
summary of the iris,describe ( data = iris )
How many entries where petal_length greater than or equal to 50.50271765913331 ,"greater_eq ( data = iris , var1 = petal_length , val = 50.50271765913331 )"
scatterplot of petal_length and sepal_width in df iris,"scatterplot ( data = iris, var1 = petal_length , var2 = sepal_width )"
store iris   and store in variable data,load ( data = iris )
quantity of petal_width in iris df,"summation ( data = iris , var1 = petal_width )"
summary of iris,describe ( data = iris )
How many rows where petal_width larger than or equal to -59.526204127175 ,"greater_eq ( data = iris , var1 = petal_width , val = -59.526204127175 )"
corr of petal_width with sepal_length in iris dataset,"corr ( data = iris, var1 = petal_width , var2 = sepal_length )"
store iris   and store in variable ,load ( data = iris )
smallest of age in adult data,"minimum ( data = adult , var1 = age )"
var of the adult,variance ( data = adult )
Number of rows with age lower than -63.47772630768662 ,"less ( data = adult , var1 = age , val = -63.47772630768662 )"
scatter plot of age and house_serv in df adult,"scatterplot ( data = adult, var1 = age , var2 = house_serv )"
load adult  ,load ( data = adult )
aggregate of the workclass in data adult,"summation ( data = adult , var1 = workclass )"
sum of the adult,summation ( data = adult )
How many info where workclass bigger than or same as -67.4534493825024 dataset,"greater_eq ( data = adult , var1 = workclass , val = -67.4534493825024 )"
cor between workclass and marital_status in adult data,"corr ( data = adult, var1 = workclass , var2 = marital_status )"
load adult data  in data,load ( data = adult )
correlation of fnlwgt in adult data base,"corr ( data = adult , var1 = fnlwgt )"
max of the adult,maximum ( data = adult )
Number of info where fnlwgt  =  68.37824439855868 dataset,"equal ( data = adult , var1 = fnlwgt , val = 68.37824439855868 )"
scatter plot of fnlwgt with race in adult df,"scatterplot ( data = adult, var1 = fnlwgt , var2 = race )"
load adult dataset  and store in variable data,load ( data = adult )
var of education in adult,"variance ( data = adult , var1 = education )"
spans of adult,ranges ( data = adult )
Number of info with education larger than or same as -62.895496706128064 data,"greater_eq ( data = adult , var1 = education , val = -62.895496706128064 )"
corr between education and hours_per_week in adult dataset,"corr ( data = adult, var1 = education , var2 = hours_per_week )"
load adult dataset ,load ( data = adult )
histogram of the education_num in adult data base,"histogram ( data = adult , var1 = education_num )"
minimum of adult,minimum ( data = adult )
Number of data with education_num <= 14.009340230790656 data,"less_eq ( data = adult , var1 = education_num , val = 14.009340230790656 )"
scatterplot of education_num with workclass in adult data base,"scatterplot ( data = adult, var1 = education_num , var2 = workclass )"
store adult df ,load ( data = adult )
standard deviation of marital_status in adult data base,"std ( data = adult , var1 = marital_status )"
correlation of adult,corr ( data = adult )
How many data where marital_status bigger than -9.870594367860221 df,"greater ( data = adult , var1 = marital_status , val = -9.870594367860221 )"
scatterplot of marital_status with house_serv in adult dataset,"scatterplot ( data = adult, var1 = marital_status , var2 = house_serv )"
load adult   and store in variable data,load ( data = adult )
quantity of the occupation in adult,"summation ( data = adult , var1 = occupation )"
corr of the adult,corr ( data = adult )
Number of rows with occupation <= 74.84601692960524 dataset,"less_eq ( data = adult , var1 = occupation , val = 74.84601692960524 )"
scatter plot of occupation with age in adult df,"scatterplot ( data = adult, var1 = occupation , var2 = age )"
store adult data ,load ( data = adult )
sum of the house_serv in df adult,"summation ( data = adult , var1 = house_serv )"
correlation of the adult,corr ( data = adult )
How many rows  house_serv  =  22.558006894885608 data,"equal ( data = adult , var1 = house_serv , val = 22.558006894885608 )"
correlation of house_serv and occupation in adult data,"corr ( data = adult, var1 = house_serv , var2 = occupation )"
store adult dataset  and store in variable data,load ( data = adult )
sparsity of the relationship in adult data base,"std ( data = adult , var1 = relationship )"
corr of adult,corr ( data = adult )
How many rows with relationship < -85.15794040735378 dataset,"less ( data = adult , var1 = relationship , val = -85.15794040735378 )"
correlation of relationship with hours_per_week in df adult,"corr ( data = adult, var1 = relationship , var2 = hours_per_week )"
load adult df  and store in d,load ( data = adult )
spans of race in adult data base,"ranges ( data = adult , var1 = race )"
sparsity of adult,variance ( data = adult )
Number of entries where race  <  60.790223166074384 ,"less ( data = adult , var1 = race , val = 60.790223166074384 )"
scatter plot of race with occupation in adult dataset,"scatterplot ( data = adult, var1 = race , var2 = occupation )"
load adult dataset  and store in ,load ( data = adult )
sum of the sex in adult dataset,"summation ( data = adult , var1 = sex )"
sum of adult,summation ( data = adult )
Number of entries where sex larger than or same as 11.716067546966414 data,"greater_eq ( data = adult , var1 = sex , val = 11.716067546966414 )"
corr between sex and education_num in dataset adult,"corr ( data = adult, var1 = sex , var2 = education_num )"
store adult dataset  and store in variable a,load ( data = adult )
var of the capital_gain in dataset adult,"variance ( data = adult , var1 = capital_gain )"
range of the adult,ranges ( data = adult )
Number of data with capital_gain > 2.9551669229590942 ,"greater ( data = adult , var1 = capital_gain , val = 2.9551669229590942 )"
corr of capital_gain with race in data adult,"corr ( data = adult, var1 = capital_gain , var2 = race )"
load adult dataset  in df,load ( data = adult )
span of the capital_loss in adult data,"ranges ( data = adult , var1 = capital_loss )"
typical of the adult,mean ( data = adult )
How many rows  capital_loss less than 7.653130909312566 dataset,"less ( data = adult , var1 = capital_loss , val = 7.653130909312566 )"
cor between capital_loss and workclass in adult,"corr ( data = adult, var1 = capital_loss , var2 = workclass )"
load adult  ,load ( data = adult )
ranges of the hours_per_week in adult data base,"ranges ( data = adult , var1 = hours_per_week )"
standard deviation of adult,std ( data = adult )
Number of rows with hours_per_week <= 67.63146179154225 data,"less_eq ( data = adult , var1 = hours_per_week , val = 67.63146179154225 )"
correlation between hours_per_week with occupation in dataset adult,"corr ( data = adult, var1 = hours_per_week , var2 = occupation )"
store adult dataset  in d,load ( data = adult )
hist of the native_country in dataset adult,"histogram ( data = adult , var1 = native_country )"
amount of the adult,summation ( data = adult )
Number of info  native_country higher than or same as -61.376113590959605 ,"greater_eq ( data = adult , var1 = native_country , val = -61.376113590959605 )"
corr between native_country and race in adult,"corr ( data = adult, var1 = native_country , var2 = race )"
load adult dataset  in {data}_df,load ( data = adult )
std of alcohol in dataset wine,"std ( data = wine , var1 = alcohol )"
highest of the wine,maximum ( data = wine )
Number of data with alcohol is -55.55769100915238 data,"equal ( data = wine , var1 = alcohol , val = -55.55769100915238 )"
correlation between alcohol and total_phenols in wine df,"corr ( data = wine, var1 = alcohol , var2 = total_phenols )"
load wine   and store in variable {data}_df,load ( data = wine )
correlation of malic_acid in wine data,"corr ( data = wine , var1 = malic_acid )"
smallest of the wine,minimum ( data = wine )
