utterance,target
Can you take the average of all <var1> in the <data> data base ,"mean ( data = <data> , var1 = '<var1>' )"
Please find the coldest <var1> in the <data> data base ,"min ( data = <data> , var1 = '<var1>' )"
Find the hottest <var1> in the <data> database ,"max ( data = <data> , var1 = '<var1>' )"
What is the correlation between <var1> and <var2> in the database in the <data> dataset.,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Find a linear regression between <var2> and <var1> in <data> data.,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Based on the regression can you find the predicted value using linreg when <var1> is <val> degrees in <data> data,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What's the average of <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What's mean of the <var1> in the <data> data set,"mean ( data = <data> , var1 = '<var1>' )"
What's the average <var1> in in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What's the lowest <var1> in <data>,"max ( data = <data> , var1 = '<var1>' )"
What's the minimum <var1> of all <var1> in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
What's the coldest <var1> in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What's the highest <var1> in <data> in the <data> data,"min ( data = <data> , var1 = '<var1>' )"
What's the max <var1> of all <var1> in the <data>,"max ( data = <data> , var1 = '<var1>' )"
What's the hottest <var1> in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
What's the correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Is there a correlation between <var1> and <var2> in the <data> ?,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Could you find the correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What's the relationship between <var1> and <var2> in the <data> data? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you make a relationship between <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What's the linear regression of <var1> on <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you predict from the model what <var2> is associated with <var1> = <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What's the predicted <var2> when <var1> is <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What's the predicted value of <var2> when <var1> is <val> degrees in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the mean <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Give me the mean of <var1> in the <data>,"mean ( data = <data> , var1 = '<var1>' )"
Tell me what the mean of the <var1> is in the <data> data,"mean ( data = <data> , var1 = '<var1>' )"
What is the minimum of <var1> in the <data> ,"min ( data = <data> , var1 = '<var1>' )"
What is the minimum <var1> entry in the <data> dataset?,"min ( data = <data> , var1 = '<var1>' )"
Tell me what the minimum <var1> is in the <data> dataset.  ,"min ( data = <data> , var1 = '<var1>' )"
What is the maximum of <var1> in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
What is the maximum <var1> entry in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
Give me the maximum of <var1> in the <data> dataset.,"max ( data = <data> , var1 = '<var1>' )"
What is the correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How correlated is <var1> from <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Give me the correlation between <var1> and <var2> in the <data> dataset. ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is the linear model of <var1> predicting <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is the regression model of <var1> predicting <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
