utterance,target
Can you take the average of all temperature in the weather history data base in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Please find the coldest temperature in the weather history data base in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Find the hottest temperature in the WeatherHistory database ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the correlation between temperature and feeling_temperature in the database in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Find a linear regression between humidity and temperature in WeatherHistory data.,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Based on the regression can you find the predicted value of humidity when temperature is 12 degrees celsius in WeatherHistory data,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What's the average of temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What's mean of the temperature in the data set in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What's the average temperature in celsius in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What's the lowest temperature in weather history in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What's the minimum temperature of all temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What's the coldest temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What's the highest temperature in weather history in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the max temperature of all temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the hottest temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Is there a correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
COuld you find the correlation between actual temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
