corr of sepal_length in iris dataset,"corr ( data = iris , var1 = sepal_length )"
quantile of the in iris df,quantile ( data = iris )
How many rows with sepal_length less than -51.659938858223484 in data iris,"less ( data = iris , var1 = sepal_length , val = -51.659938858223484 )"
scatter plot of sepal_length with petal_length in iris data base,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_length )"
mean of the sepal_width in iris df,"mean ( data = iris , var1 = sepal_width )"
mean of in data iris,mean ( data = iris )
How many info where sepal_width larger than or equal to 26.551252950821393 in iris data,"greater_eq ( data = iris , var1 = sepal_width , val = 26.551252950821393 )"
scatter plot of sepal_width and petal_width in dataset iris,"scatterplot ( data = iris, var1 = sepal_width , var2 = petal_width )"
var of petal_length in iris df,"variance ( data = iris , var1 = petal_length )"
average of in dataset iris,mean ( data = iris )
How many data where petal_length higher than or equal to 38.66304145587006 in iris,"greater_eq ( data = iris , var1 = petal_length , val = 38.66304145587006 )"
scatter plot between petal_length with sepal_length in df iris,"scatterplot ( data = iris, var1 = petal_length , var2 = sepal_length )"
spans of the petal_width in iris dataset,"ranges ( data = iris , var1 = petal_width )"
aggregate of the in iris df,summation ( data = iris )
How many info with petal_width = -74.86857049976503 in iris,"equal ( data = iris , var1 = petal_width , val = -74.86857049976503 )"
correlation between petal_width and petal_length in df iris,"corr ( data = iris, var1 = petal_width , var2 = petal_length )"
maximum of age in df adult,"maximum ( data = adult , var1 = age )"
corr of in adult df,corr ( data = adult )
How many info with age >= -40.06510822901039 in adult data,"greater_eq ( data = adult , var1 = age , val = -40.06510822901039 )"
scatter plot of age and fnlwgt in adult dataset,"scatterplot ( data = adult, var1 = age , var2 = fnlwgt )"
sum of workclass in adult data,"summation ( data = adult , var1 = workclass )"
span of the in adult,ranges ( data = adult )
How many rows where workclass greater than or same as -26.945422740505492 in df adult,"greater_eq ( data = adult , var1 = workclass , val = -26.945422740505492 )"
corr between workclass and capital_loss in adult dataset,"corr ( data = adult, var1 = workclass , var2 = capital_loss )"
sum of the fnlwgt in adult data,"summation ( data = adult , var1 = fnlwgt )"
aggregate of the in adult df,summation ( data = adult )
Number of entries where fnlwgt  <=  -95.95178825395172 in dataset adult,"less_eq ( data = adult , var1 = fnlwgt , val = -95.95178825395172 )"
corr of fnlwgt with capital_loss in adult dataset,"corr ( data = adult, var1 = fnlwgt , var2 = capital_loss )"
standard deviation of the education in df adult,"std ( data = adult , var1 = education )"
typical of the in df adult,mean ( data = adult )
How many data with education less than or equal to -63.58221232185819 in adult df,"less_eq ( data = adult , var1 = education , val = -63.58221232185819 )"
scatter plot of education and fnlwgt in adult dataset,"scatterplot ( data = adult, var1 = education , var2 = fnlwgt )"
amount of the education_num in adult dataset,"summation ( data = adult , var1 = education_num )"
quantile of in df adult,quantile ( data = adult )
How many info with education_num bigger than or equal to 57.256793746089386 in data adult,"greater_eq ( data = adult , var1 = education_num , val = 57.256793746089386 )"
scatterplot between education_num with education in df adult,"scatterplot ( data = adult, var1 = education_num , var2 = education )"
spans of marital_status in data adult,"ranges ( data = adult , var1 = marital_status )"
average of the in adult,mean ( data = adult )
Number of rows with marital_status larger than or equal to -12.13663478369051 in dataset adult,"greater_eq ( data = adult , var1 = marital_status , val = -12.13663478369051 )"
scatterplot between marital_status with capital_gain in adult data base,"scatterplot ( data = adult, var1 = marital_status , var2 = capital_gain )"
aggregate of occupation in dataset adult,"summation ( data = adult , var1 = occupation )"
sd of the in adult dataset,std ( data = adult )
Number of data where occupation greater than 52.511484275496485 in dataset adult,"greater ( data = adult , var1 = occupation , val = 52.511484275496485 )"
correlation between occupation and age in adult data base,"corr ( data = adult, var1 = occupation , var2 = age )"
typical of house_serv in dataset adult,"mean ( data = adult , var1 = house_serv )"
corr of in adult data base,corr ( data = adult )
Number of info with house_serv == -16.872330682465517 in adult data base,"equal ( data = adult , var1 = house_serv , val = -16.872330682465517 )"
cor of house_serv with marital_status in adult dataset,"corr ( data = adult, var1 = house_serv , var2 = marital_status )"
deviation of the relationship in adult data,"std ( data = adult , var1 = relationship )"
std of in data adult,std ( data = adult )
Number of data with relationship bigger than -88.1483732288061 in adult data,"greater ( data = adult , var1 = relationship , val = -88.1483732288061 )"
cor of relationship and hours_per_week in dataset adult,"corr ( data = adult, var1 = relationship , var2 = hours_per_week )"
max of race in df adult,"maximum ( data = adult , var1 = race )"
sum of in adult data,summation ( data = adult )
How many entries  race < 49.69853362457786 in adult data,"less ( data = adult , var1 = race , val = 49.69853362457786 )"
correlation of race and relationship in dataset adult,"corr ( data = adult, var1 = race , var2 = relationship )"
amount of the sex in df adult,"summation ( data = adult , var1 = sex )"
sparsity of in adult dataset,std ( data = adult )
How many rows with sex > 36.56976415710756 in adult data base,"greater ( data = adult , var1 = sex , val = 36.56976415710756 )"
correlation of sex with hours_per_week in dataset adult,"corr ( data = adult, var1 = sex , var2 = hours_per_week )"
typical of capital_gain in adult df,"mean ( data = adult , var1 = capital_gain )"
std of the in adult df,std ( data = adult )
Number of rows with capital_gain equal to -71.94978574884219 in dataset adult,"equal ( data = adult , var1 = capital_gain , val = -71.94978574884219 )"
scatter plot between capital_gain and education_num in adult df,"scatterplot ( data = adult, var1 = capital_gain , var2 = education_num )"
sparsity of capital_loss in adult,"variance ( data = adult , var1 = capital_loss )"
quantity of the in adult data base,summation ( data = adult )
Number of entries with capital_loss greater than -22.218564973894118 in data adult,"greater ( data = adult , var1 = capital_loss , val = -22.218564973894118 )"
scatter plot of capital_loss with fnlwgt in df adult,"scatterplot ( data = adult, var1 = capital_loss , var2 = fnlwgt )"
aggregate of the hours_per_week in adult df,"summation ( data = adult , var1 = hours_per_week )"
std of in adult data,std ( data = adult )
How many data where hours_per_week  <  -61.71526153461755 in adult data base,"less ( data = adult , var1 = hours_per_week , val = -61.71526153461755 )"
corr of hours_per_week with education_num in adult data,"corr ( data = adult, var1 = hours_per_week , var2 = education_num )"
smallest of native_country in dataset adult,"minimum ( data = adult , var1 = native_country )"
spans of the in adult,ranges ( data = adult )
Number of rows  native_country higher than or same as 33.16420780866943 in data adult,"greater_eq ( data = adult , var1 = native_country , val = 33.16420780866943 )"
correlation between native_country with education in adult,"corr ( data = adult, var1 = native_country , var2 = education )"
sparsity of alcohol in wine df,"variance ( data = wine , var1 = alcohol )"
quantile of the in data wine,quantile ( data = wine )
Number of entries  alcohol equal to -13.138926607048944 in dataset wine,"equal ( data = wine , var1 = alcohol , val = -13.138926607048944 )"
scatterplot of alcohol and alcalinity_of_ash in wine data base,"scatterplot ( data = wine, var1 = alcohol , var2 = alcalinity_of_ash )"
std of malic_acid in wine dataset,"std ( data = wine , var1 = malic_acid )"
minimum of the in df wine,minimum ( data = wine )
How many data with malic_acid bigger than or equal to 68.57891650889326 in wine df,"greater_eq ( data = wine , var1 = malic_acid , val = 68.57891650889326 )"
scatter plot of malic_acid with nonflavanoid_phenols in wine dataset,"scatterplot ( data = wine, var1 = malic_acid , var2 = nonflavanoid_phenols )"
corr of ash in data wine,"corr ( data = wine , var1 = ash )"
maximum of the in dataset wine,maximum ( data = wine )
How many entries with ash < -66.98489748715218 in wine data,"less ( data = wine , var1 = ash , val = -66.98489748715218 )"
scatter plot between ash with proanthocyanins in df wine,"scatterplot ( data = wine, var1 = ash , var2 = proanthocyanins )"
typical of alcalinity_of_ash in df wine,"mean ( data = wine , var1 = alcalinity_of_ash )"
aggregate of the in dataset wine,summation ( data = wine )
How many entries with alcalinity_of_ash greater than or equal to 26.81714695054626 in df wine,"greater_eq ( data = wine , var1 = alcalinity_of_ash , val = 26.81714695054626 )"
correlation between alcalinity_of_ash with hue in wine,"corr ( data = wine, var1 = alcalinity_of_ash , var2 = hue )"
min of magnesium in wine,"minimum ( data = wine , var1 = magnesium )"
quantile of in df wine,quantile ( data = wine )
How many data with magnesium less than or equal to -71.35437533329447 in data wine,"less_eq ( data = wine , var1 = magnesium , val = -71.35437533329447 )"
scatterplot between magnesium with varor_intensity in wine data,"scatterplot ( data = wine, var1 = magnesium , var2 = varor_intensity )"
mean of total_phenols in wine data,"mean ( data = wine , var1 = total_phenols )"
smallest of in wine,minimum ( data = wine )
Number of rows with total_phenols bigger than or same as -0.2009738803891139 in wine data,"greater_eq ( data = wine , var1 = total_phenols , val = -0.2009738803891139 )"
corr of total_phenols and proanthocyanins in wine,"corr ( data = wine, var1 = total_phenols , var2 = proanthocyanins )"
deviation of flavanoids in wine df,"std ( data = wine , var1 = flavanoids )"
quantile of in wine dataset,quantile ( data = wine )
How many rows with flavanoids larger than -12.094966092009685 in wine data base,"greater ( data = wine , var1 = flavanoids , val = -12.094966092009685 )"
correlation of flavanoids and alcohol in wine dataset,"corr ( data = wine, var1 = flavanoids , var2 = alcohol )"
histogram of nonflavanoid_phenols in wine data base,"histogram ( data = wine , var1 = nonflavanoid_phenols )"
range of in wine dataset,ranges ( data = wine )
How many data  nonflavanoid_phenols less than or same as -26.805692513765948 in wine data,"less_eq ( data = wine , var1 = nonflavanoid_phenols , val = -26.805692513765948 )"
correlation of nonflavanoid_phenols and ash in dataset wine,"corr ( data = wine, var1 = nonflavanoid_phenols , var2 = ash )"
smallest of proanthocyanins in wine df,"minimum ( data = wine , var1 = proanthocyanins )"
cor of the in wine data,corr ( data = wine )
How many info where proanthocyanins greater than 99.91951428585764 in wine,"greater ( data = wine , var1 = proanthocyanins , val = 99.91951428585764 )"
cor of proanthocyanins with alcalinity_of_ash in wine dataset,"corr ( data = wine, var1 = proanthocyanins , var2 = alcalinity_of_ash )"
minimum of varor_intensity in wine data base,"minimum ( data = wine , var1 = varor_intensity )"
variance of in dataset wine,variance ( data = wine )
Number of info  varor_intensity lower than 65.00284179431205 in data wine,"less ( data = wine , var1 = varor_intensity , val = 65.00284179431205 )"
correlation of varor_intensity and alcohol in dataset wine,"corr ( data = wine, var1 = varor_intensity , var2 = alcohol )"
