"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"M",455,365,95,514,224.5,101,150,15
"M",350,265,90,225.5,99.5,48.5,70,7
"F",530,420,135,677,256.5,141.5,210,9
"M",440,365,125,516,215.5,114,155,10
"I",330,255,80,205,89.5,39.5,55,7
"I",425,300,95,351.5,141,77.5,120,8
"F",530,415,150,777.5,237,141.5,330,20
"F",545,425,125,768,294,149.5,260,16
"M",475,370,125,509.5,216.5,112.5,165,9
"F",550,440,150,894.5,314.5,151,320,19
"F",525,380,140,606.5,194,147.5,210,14
"M",430,350,110,406,167.5,81,135,10
"M",490,380,135,541.5,217.5,95,190,11
"F",535,405,145,684.5,272.5,171,205,10
"F",470,355,100,475.5,167.5,80.5,185,10
"M",500,400,130,664.5,258,133,240,12
"I",355,280,85,290.5,95,39.5,115,7
"F",440,340,100,451,188,87,130,10
"M",365,295,80,255.5,97,43,100,7
"M",450,320,100,381,170.5,75,115,9
"M",355,280,95,245.5,95.5,62,75,11
"I",380,275,100,225.5,80,49,85,10
"F",565,440,155,939.5,427.5,214,270,12
"F",550,415,135,763.5,318,210,200,9
"F",615,480,165,1161.5,513,301,305,10
"F",560,440,140,928.5,382.5,188,300,11
"F",580,450,185,995.5,394.5,272,285,11
"M",590,445,140,931,356,234,280,12
"M",605,475,180,936.5,394,219,295,15
"M",575,425,140,863.5,393,227,200,11
"M",580,470,165,997.5,393.5,242,330,10
"F",680,560,165,1639,605.5,280.5,460,15
"M",665,525,165,1338,551.5,357.5,350,18
"F",680,550,175,1798,815,392.5,455,19
"F",705,550,200,1709.5,633,411.5,490,13
"M",465,355,105,479.5,227,124,125,8
"F",540,475,155,1217,530.5,307.5,340,16
"F",450,355,105,522.5,237,116.5,145,8
"F",575,445,135,883,381,203.5,260,11
"M",355,290,90,327.5,134,86,90,9
"F",450,335,105,425,186.5,91,115,9
"F",550,425,135,851.5,362,196,270,14
"I",240,175,45,70,31.5,23.5,20,5
"I",205,150,55,42,25.5,15,12,5
"I",210,150,50,42,17.5,12.5,15,4
"I",390,295,95,203,87.5,45,75,7
"M",470,370,120,579.5,293,227,140,9
"F",460,375,120,460.5,177.5,110,150,7
"I",325,245,70,161,75.5,25.5,45,6
"F",525,425,160,835.5,354.5,213.5,245,9
"I",520,410,120,595,238.5,111,190,8
"M",400,320,95,303,133.5,60,100,7
"M",485,360,130,541.5,259.5,96,160,10
"F",470,360,120,477.5,210.5,105.5,150,10
"M",405,310,100,385,173,91.5,110,7
"F",500,400,140,661.5,256.5,175.5,220,8
"M",445,350,120,442.5,192,95.5,135,8
"M",470,385,135,589.5,276.5,120,170,8
"I",245,190,60,86,42,14,25,4
"F",505,400,125,583,246,130,175,7
"M",450,345,105,411.5,180,112.5,135,7
"M",505,405,110,625,305,160,175,9
"F",530,410,130,696.5,302,193.5,200,10
"M",425,325,95,378.5,170.5,80,100,7
"M",520,400,120,580,234,131.5,185,8
"M",475,355,120,480,234,101.5,135,8
"F",565,440,160,915,354,193.5,320,12
"F",595,495,185,1285,416,224,485,13
"F",475,390,120,530.5,213.5,115.5,170,10
"I",310,235,70,151,63,40.5,45,6
"M",555,425,130,766.5,264,168,275,13
"F",400,320,110,353,140.5,98.5,100,8
"F",595,475,170,1247,480,225,425,20
"M",570,480,175,1185,474,261,380,11
"F",605,450,195,1098,481,289.5,315,13
"F",600,475,150,1007.5,442.5,221,280,15
"M",595,475,140,944,362.5,189,315,9
"F",600,470,150,922,363,194,305,10
"F",555,425,140,788,282,159.5,285,11
"F",615,475,170,1102.5,469.5,235.5,345,14
"F",575,445,140,941,384.5,252,285,9
"M",620,510,175,1615,510.5,192,675,12
"F",520,425,165,988.5,396,225,320,16
"M",595,475,160,1317.5,408,234,580,21
"M",580,450,140,1013,380,216,360,14
"F",570,465,180,1295,339,222.5,440,12
"M",625,465,140,1195,482.5,205,400,13
"M",560,440,160,864.5,330.5,207.5,260,10
"F",460,355,130,517,220.5,114,165,9
"F",575,450,160,977.5,313.5,231,330,12
"M",565,425,135,811.5,341,167.5,255,15
"M",555,440,150,755,307,152.5,260,12
"M",595,465,175,1115,401.5,254,390,13
"F",625,495,165,1262,507,318,390,10
"M",695,560,190,1494,588,342.5,485,15
"M",665,535,195,1606,575.5,388,480,14
"M",535,435,150,725,269,138.5,250,9
"M",470,375,130,523,214,132,145,8
"M",470,370,130,522.5,201,133,165,7
"F",475,375,125,578.5,277.5,85,155,10
"I",360,265,95,231.5,105,46,75,7
"M",550,435,145,843,328,191.5,255,15
"M",530,435,160,883,316,164,335,15
"M",530,415,140,724,310.5,167.5,205,10
"M",605,470,160,1173.5,497.5,240.5,345,12
"F",520,410,155,727,291,183.5,235,12
"F",545,430,165,802,293.5,183,280,11
"F",500,400,125,667.5,261,131.5,220,10
"F",510,390,135,633.5,231,179,200,9
"F",435,395,105,363.5,136,98,130,9
"M",495,395,125,541.5,237.5,134.5,155,9
"M",465,360,105,431,172,107,175,9
"I",435,320,80,332.5,148.5,63.5,105,9
"M",425,350,105,393,130,63,165,9
"F",545,410,125,693.5,297.5,146,210,11
"F",530,415,115,591.5,233,158.5,180,11
"F",490,375,135,612.5,255.5,102,220,11
"M",440,340,105,402,130.5,95.5,165,10
"F",560,430,150,882.5,346.5,172,310,9
"M",405,305,85,260.5,114.5,59.5,85,8
"F",470,365,105,420.5,163,103.5,140,9
"I",385,295,85,253.5,103,57.5,85,7
"F",515,425,140,766,304,172.5,255,14
"M",370,265,75,214,90,51,70,6
"I",360,280,80,175.5,81,50.5,70,6
"I",270,195,60,73,28.5,23.5,30,5
"I",375,275,90,238,107.5,54.5,70,6
"I",385,290,85,250.5,112,61,80,8
"M",700,535,160,1725.5,630,263.5,540,19
"M",710,540,165,1959,766.5,261,780,18
"M",595,480,165,1262,483.5,283,410,17
"F",440,350,125,403.5,175,63,129,9
"F",325,260,90,191.5,85,36,62,7
"I",350,260,95,211,86,56,68,7
"I",265,200,65,97.5,40,20.5,28,7
"F",425,330,115,406,163.5,81,135.5,8
"F",305,230,80,156,67.5,34.5,48,7
"M",345,255,90,200.5,94,29.5,63,9
"F",405,325,110,355.5,151,63,117,9
"M",375,285,95,253,96,57.5,92.5,9
"F",565,445,155,826,341,205.5,247.5,10
"F",550,450,145,741,295,143.5,266.5,10
"M",650,520,190,1344.5,519,306,446.5,16
"M",560,455,155,797,340,190,242.5,11
"M",475,375,130,517.5,207.5,116.5,170,10
"F",490,380,125,549,245,107.5,174,10
"M",460,350,120,515,224,108,156.5,10
"I",280,205,80,127,52,39,42,9
