utterance,target
highest of sepal_length in iris data base,"maximum ( data = iris , var1 = sepal_length )"
std of in iris df,std ( data = iris )
Number of entries where sepal_length lower than or equal to -54.615128530502524 in data iris,"less_eq ( data = iris , var1 = sepal_length , val = -54.615128530502524 )"
scatter plot of sepal_length with sepal_width in iris data,"scatterplot ( data = iris , var1 = sepal_length , var2 = sepal_width )"
min of sepal_width in df iris,"minimum ( data = iris , var1 = sepal_width )"
mean of in dataset iris,mean ( data = iris )
Number of data  sepal_width smaller than or same as 57.51732031427261 in iris df,"less_eq ( data = iris , var1 = sepal_width , val = 57.51732031427261 )"
corr between sepal_width with sepal_length in df iris,"corr ( data = iris , var1 = sepal_width , var2 = sepal_length )"
min of petal_length in df iris,"minimum ( data = iris , var1 = petal_length )"
sum of in iris df,summation ( data = iris )
Number of entries with petal_length less than or same as 23.3208372259663 in data iris,"less_eq ( data = iris , var1 = petal_length , val = 23.3208372259663 )"
corr of petal_length with petal_width in data iris,"corr ( data = iris , var1 = petal_length , var2 = petal_width )"
average of the petal_width in iris data,"mean ( data = iris , var1 = petal_width )"
typical of in iris df,mean ( data = iris )
Number of data with petal_width > -0.8590777455702749 in df iris,"greater ( data = iris , var1 = petal_width , val = -0.8590777455702749 )"
scatter plot of petal_width with sepal_length in iris,"scatterplot ( data = iris , var1 = petal_width , var2 = sepal_length )"
std of the age in adult data base,"std ( data = adult , var1 = age )"
describe of the in adult dataset,describe ( data = adult )
Number of rows with age larger than -34.893763178342525 in adult dataset,"greater ( data = adult , var1 = age , val = -34.893763178342525 )"
corr of age with race in adult data,"corr ( data = adult , var1 = age , var2 = race )"
maximum of the workclass in dataset adult,"maximum ( data = adult , var1 = workclass )"
sparsity of in adult,std ( data = adult )
How many data where workclass  ==  8.639349555780115 in dataset adult,"equal ( data = adult , var1 = workclass , val = 8.639349555780115 )"
scatterplot of workclass and sex in adult data,"scatterplot ( data = adult , var1 = workclass , var2 = sex )"
quantile of the fnlwgt in df adult,"quantile ( data = adult , var1 = fnlwgt )"
var of in adult data,variance ( data = adult )
How many rows  fnlwgt greater than or equal to 10.460131783475674 in df adult,"greater_eq ( data = adult , var1 = fnlwgt , val = 10.460131783475674 )"
corr between fnlwgt with race in data adult,"corr ( data = adult , var1 = fnlwgt , var2 = race )"
range of the education in data adult,"ranges ( data = adult , var1 = education )"
cor of the in adult,corr ( data = adult )
How many data where education  <  74.73596086522306 in adult data base,"less ( data = adult , var1 = education , val = 74.73596086522306 )"
corr between education and hours_per_week in adult data,"corr ( data = adult , var1 = education , var2 = hours_per_week )"
deviation of the education_num in data adult,"std ( data = adult , var1 = education_num )"
maximum of the in adult data base,maximum ( data = adult )
How many entries with education_num bigger than 0.7149183547801528 in data adult,"greater ( data = adult , var1 = education_num , val = 0.7149183547801528 )"
corr between education_num with occupation in adult dataset,"corr ( data = adult , var1 = education_num , var2 = occupation )"
quantity of the marital_status in data adult,"summation ( data = adult , var1 = marital_status )"
typical of in adult df,mean ( data = adult )
Number of rows with marital_status lower than or same as -74.3298807689203 in df adult,"less_eq ( data = adult , var1 = marital_status , val = -74.3298807689203 )"
corr between marital_status with capital_gain in adult,"corr ( data = adult , var1 = marital_status , var2 = capital_gain )"
deviation of occupation in df adult,"std ( data = adult , var1 = occupation )"
sparsity of in adult df,std ( data = adult )
How many entries with occupation smaller than or equal to -63.22881219778624 in dataset adult,"less_eq ( data = adult , var1 = occupation , val = -63.22881219778624 )"
cor between occupation with education_num in dataset adult,"corr ( data = adult , var1 = occupation , var2 = education_num )"
hist of house_serv in adult data,"histogram ( data = adult , var1 = house_serv )"
typical of in adult data,mean ( data = adult )
How many info with house_serv < -94.43501942336408 in data adult,"less ( data = adult , var1 = house_serv , val = -94.43501942336408 )"
scatter plot between house_serv and occupation in adult dataset,"scatterplot ( data = adult , var1 = house_serv , var2 = occupation )"
max of relationship in data adult,"maximum ( data = adult , var1 = relationship )"
ranges of in adult,ranges ( data = adult )
Number of info  relationship  <  -96.55983886032983 in dataset adult,"less ( data = adult , var1 = relationship , val = -96.55983886032983 )"
scatter plot between relationship with workclass in data adult,"scatterplot ( data = adult , var1 = relationship , var2 = workclass )"
span of race in adult data base,"ranges ( data = adult , var1 = race )"
amount of the in data adult,summation ( data = adult )
Number of info where race lower than -41.34226113459294 in adult data,"less ( data = adult , var1 = race , val = -41.34226113459294 )"
cor between race with hours_per_week in adult,"corr ( data = adult , var1 = race , var2 = hours_per_week )"
cor of sex in adult data base,"corr ( data = adult , var1 = sex )"
sd of the in adult data,std ( data = adult )
Number of data where sex lower than or same as 62.730725916716324 in adult data,"less_eq ( data = adult , var1 = sex , val = 62.730725916716324 )"
